id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url,,,
1.12724194529248E+018,1.12724194529248E+018,1557590397000,2019-05-11,22:59:57,WIB,1.11272886576642E+018,anduk_buluk,Hanya calon bangkai,,Jikalau setelah kematian itu tidak ada kehidupan lagi. Nescaya aku ingin bunuh diri saja. Daripada membebani banyak orang.,,[],[],0,0,0,,[],https://twitter.com/anduk_buluk/status/1127241945292480512,,,0,https://pbs.twimg.com/profile_images/1127051139462062081/OHGhytaf.jpg,,,
1.12722198605941E+018,1.12722198605941E+018,1557585638000,2019-05-11,21:40:38,WIB,97892327,aarafis,Adit,,"Diharuskan menyelesaikan bab 3 kurang dari 5 hari, rasa-rasa frustasi dan ingin bunuh diri.",,[],[],1,0,0,,[],https://twitter.com/aarafis/status/1127221986059407360,,,0,https://pbs.twimg.com/profile_images/1060138543316578304/KODFihWD.jpg,,,
1.12721305381506E+018,1.1267365776636E+018,1557583509000,2019-05-11,21:05:09,WIB,3232573765,misuchansu,依神紫苑、sʜɪᴏɴ.,,"ㅤ“... Menyenangkan? Kenapa? Kau ingin bunuh diri, yaaa?”",,[],[],0,0,0,,[],https://twitter.com/Misuchansu/status/1127213053815058432,,,0,https://pbs.twimg.com/profile_images/1127559508601950208/sLmroGhN.jpg,,,
1.12720696349269E+018,1.12720696349269E+018,1557582057000,2019-05-11,20:40:57,WIB,1.07140780840543E+018,muhammadharits_,i am a paradox,,Ingin aku bunuh diri dengan memanjat ke ego mu yang tinggi lalu loncat ke IQmu yang rendah.,,[],[],0,0,1,,[],https://twitter.com/muhammadharits_/status/1127206963492687873,,,0,https://pbs.twimg.com/profile_images/1127078198775242753/wWBYvGX1.jpg,,,
1.12717594574639E+018,1.12717594574639E+018,1557574662000,2019-05-11,18:37:42,WIB,1027648922,taroo_misaki,マッド,,"Ada salah satu sekian dari banyak orang ingin jadi penulis (saya) memberikan kutipan ; jangan sampai mencintai terlalu dalam, jika kau ingin keluar dari cinta yang dalam salah satu cara untuk keluar adalah dengan bunuh diri atau mati tenggelam.",,[],[],0,0,2,,[],https://twitter.com/taroo_misaki/status/1127175945746386944,,,0,https://pbs.twimg.com/profile_images/1127581174363148288/nLi55Hb2.jpg,,,
1.12711865954809E+018,1.12711865954809E+018,1557561003000,2019-05-11,14:50:03,WIB,238457985,dwibudaii,seruputkopii_,,"Selama 1 Bulan saya di pulau Sumbawa banyak temuan baru tentang anak-anak di sana. Mulai kasus bunuh diri, pendidikan, hingga kemiskinan. Semoga open donasi BUKU UNTUK DOMPU part 2 banyak yang ingin berpartisipasi. Terimakasih, Lemboade  pic.twitter.com/7B91KF0YQg",,[],['https://pbs.twimg.com/media/D6RUbbiV4AAU3wo.jpg'],0,1,0,,[],https://twitter.com/dwibudaii/status/1127118659548094464,,,0,https://pbs.twimg.com/profile_images/1125965015016542208/0rFNUz_4.jpg,,,
1.12711847837515E+018,1.12711847837515E+018,1557560960000,2019-05-11,14:49:20,WIB,1.00455974897972E+018,eropajokowi,berjuang untuk rakyat & umat,,Adakah rasa yg bikin pegal hati berkali-kali? Hingga ingin bunuh diri?  Yaitu kalah berkali-kali.eaaaa... @Arse00571581 @rianantony4 @peppychristian1 @LisaYusuf @christi01232264 @arimanik #KitaMenang #Jokowi2Periode,"['arse00571581', 'rianantony4', 'peppychristian1', 'lisayusuf', 'christi01232264', 'arimanik']",[],[],1,3,5,,"['#kitamenang', '#jokowi2periode']",https://twitter.com/EropaJokowi/status/1127118478375153664,,,0,https://pbs.twimg.com/profile_images/1125034045476237312/kouZnmZo.jpg,,,
1.12709226907978E+018,1.12709226907978E+018,1557554711000,2019-05-11,13:05:11,WIB,8.42014209109971E+017,andri000me_2,M Andri Gunawan Berita,,"Ingin Bunuh Diri, Seorang Penumpang Coba Buka Pintu Pesawat Delta  https://mandrigunawanberita.wordpress.com/2019/05/11/ingin-bunuh-diri-seorang-penumpang-coba-buka-pintu-pesawat-delta/ …",,['https://mandrigunawanberita.wordpress.com/2019/05/11/ingin-bunuh-diri-seorang-penumpang-coba-buka-pintu-pesawat-delta/'],[],0,0,0,,[],https://twitter.com/andri000me_2/status/1127092269079781376,,,0,https://pbs.twimg.com/profile_images/975018358482468864/9hQxCNDN.jpg,,,
1.12708934021809E+018,1.12708850284628E+018,1557554013000,2019-05-11,12:53:33,WIB,1.05332041326507E+018,udsrvbttr,Meh,,"This is interesting. Karena us udah kaya gini, selama yang ingin bunuh diri memang-memang pengen. Tapi keliatannya harus ada faktor lain juga. Kurang tau juga saya kalo gitu. Tapi dengan keadaan indo yang kaya gini keliatannya nggak deh.",['askmenfess'],[],[],1,0,2,,[],https://twitter.com/udsrvbttr/status/1127089340218085377,,,0,https://pbs.twimg.com/profile_images/1113442836668489728/smCbhTJO.jpg,,,
1.12708745483654E+018,1.12708745483654E+018,1557553564000,2019-05-11,12:46:04,WIB,231355136,sindonews,SINDOnews,,"Ingin Bunuh Diri, Seorang Penumpang Coba Buka Pintu Pesawat Delta  https://international.sindonews.com/read/1403335/42/ingin-bunuh-diri-seorang-penumpang-coba-buka-pintu-pesawat-delta-1557553072?utm_source=dlvr.it&utm_medium=referral …",,['https://international.sindonews.com/read/1403335/42/ingin-bunuh-diri-seorang-penumpang-coba-buka-pintu-pesawat-delta-1557553072?utm_source=dlvr.it&utm_medium=referral'],[],0,2,2,,[],https://twitter.com/SINDOnews/status/1127087454836539392,,,0,https://pbs.twimg.com/profile_images/1120208897711562752/jWW8x8ZB.png,,,
